Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Positivos,,,,2024-01-24 00:16:19,2024-01-24 00:16:28,"9,294s",FAILED
,,,,,,,
Test Cases/Mercado Libre/Positivos/Oauth Carrier - iteraciones audience,,,,2024-01-24 00:16:19,2024-01-24 00:16:23,"3,484s",FAILED
"Response = sendRequest(findTestObject(""Desarrollo ML/Oauth Carrier - iteración"", [""audience"":userglobalcorrecto]))",,,,2024-01-24 00:16:20,2024-01-24 00:16:23,"2,493s",PASSED
print(Response.getResponseText()),,,,2024-01-24 00:16:23,2024-01-24 00:16:23,"0,004s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2024-01-24 00:16:23,2024-01-24 00:16:23,"0,049s",FAILED
,,,,,,,
Test Cases/Mercado Libre/Positivos/Oauth Carrier - iteraciones audience,,,,2024-01-24 00:16:23,2024-01-24 00:16:24,"1,414s",FAILED
"Response = sendRequest(findTestObject(""Desarrollo ML/Oauth Carrier - iteración"", [""audience"":userglobalcorrecto]))",,,,2024-01-24 00:16:23,2024-01-24 00:16:24,"1,383s",PASSED
print(Response.getResponseText()),,,,2024-01-24 00:16:24,2024-01-24 00:16:24,"0,000s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2024-01-24 00:16:24,2024-01-24 00:16:24,"0,007s",FAILED
,,,,,,,
Test Cases/Mercado Libre/Positivos/Oauth Carrier - iteraciones audience,,,,2024-01-24 00:16:24,2024-01-24 00:16:25,"0,328s",FAILED
"Response = sendRequest(findTestObject(""Desarrollo ML/Oauth Carrier - iteración"", [""audience"":userglobalcorrecto]))",,,,2024-01-24 00:16:24,2024-01-24 00:16:25,"0,297s",PASSED
print(Response.getResponseText()),,,,2024-01-24 00:16:25,2024-01-24 00:16:25,"0,000s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2024-01-24 00:16:25,2024-01-24 00:16:25,"0,016s",FAILED
,,,,,,,
Test Cases/Mercado Libre/Positivos/Oauth Carrier - iteraciones audience,,,,2024-01-24 00:16:25,2024-01-24 00:16:25,"0,328s",FAILED
"Response = sendRequest(findTestObject(""Desarrollo ML/Oauth Carrier - iteración"", [""audience"":userglobalcorrecto]))",,,,2024-01-24 00:16:25,2024-01-24 00:16:25,"0,297s",PASSED
print(Response.getResponseText()),,,,2024-01-24 00:16:25,2024-01-24 00:16:25,"0,000s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2024-01-24 00:16:25,2024-01-24 00:16:25,"0,000s",FAILED
,,,,,,,
Test Cases/Mercado Libre/Positivos/Oauth Carrier - iteraciones audience,,,,2024-01-24 00:16:25,2024-01-24 00:16:26,"0,362s",FAILED
"Response = sendRequest(findTestObject(""Desarrollo ML/Oauth Carrier - iteración"", [""audience"":userglobalcorrecto]))",,,,2024-01-24 00:16:25,2024-01-24 00:16:26,"0,341s",PASSED
print(Response.getResponseText()),,,,2024-01-24 00:16:26,2024-01-24 00:16:26,"0,000s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2024-01-24 00:16:26,2024-01-24 00:16:26,"0,005s",FAILED
,,,,,,,
Test Cases/Mercado Libre/Positivos/Oauth Carrier - iteraciones audience,,,,2024-01-24 00:16:26,2024-01-24 00:16:26,"0,380s",FAILED
"Response = sendRequest(findTestObject(""Desarrollo ML/Oauth Carrier - iteración"", [""audience"":userglobalcorrecto]))",,,,2024-01-24 00:16:26,2024-01-24 00:16:26,"0,332s",PASSED
print(Response.getResponseText()),,,,2024-01-24 00:16:26,2024-01-24 00:16:26,"0,000s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2024-01-24 00:16:26,2024-01-24 00:16:26,"0,000s",FAILED
,,,,,,,
Test Cases/Mercado Libre/Positivos/Oauth Carrier - iteraciones audience,,,,2024-01-24 00:16:26,2024-01-24 00:16:26,"0,347s",FAILED
"Response = sendRequest(findTestObject(""Desarrollo ML/Oauth Carrier - iteración"", [""audience"":userglobalcorrecto]))",,,,2024-01-24 00:16:26,2024-01-24 00:16:26,"0,319s",PASSED
print(Response.getResponseText()),,,,2024-01-24 00:16:26,2024-01-24 00:16:26,"0,000s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2024-01-24 00:16:26,2024-01-24 00:16:26,"0,006s",FAILED
,,,,,,,
Test Cases/Mercado Libre/Positivos/Oauth Carrier - iteraciones audience,,,,2024-01-24 00:16:26,2024-01-24 00:16:27,"0,334s",FAILED
"Response = sendRequest(findTestObject(""Desarrollo ML/Oauth Carrier - iteración"", [""audience"":userglobalcorrecto]))",,,,2024-01-24 00:16:27,2024-01-24 00:16:27,"0,284s",PASSED
print(Response.getResponseText()),,,,2024-01-24 00:16:27,2024-01-24 00:16:27,"0,000s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2024-01-24 00:16:27,2024-01-24 00:16:27,"0,004s",FAILED
,,,,,,,
Test Cases/Mercado Libre/Positivos/Oauth Carrier - iteraciones audience,,,,2024-01-24 00:16:27,2024-01-24 00:16:27,"0,297s",FAILED
"Response = sendRequest(findTestObject(""Desarrollo ML/Oauth Carrier - iteración"", [""audience"":userglobalcorrecto]))",,,,2024-01-24 00:16:27,2024-01-24 00:16:27,"0,282s",PASSED
print(Response.getResponseText()),,,,2024-01-24 00:16:27,2024-01-24 00:16:27,"0,000s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2024-01-24 00:16:27,2024-01-24 00:16:27,"0,000s",FAILED
,,,,,,,
Test Cases/Mercado Libre/Positivos/Oauth Carrier - iteraciones audience,,,,2024-01-24 00:16:27,2024-01-24 00:16:28,"0,314s",FAILED
"Response = sendRequest(findTestObject(""Desarrollo ML/Oauth Carrier - iteración"", [""audience"":userglobalcorrecto]))",,,,2024-01-24 00:16:27,2024-01-24 00:16:28,"0,266s",PASSED
print(Response.getResponseText()),,,,2024-01-24 00:16:28,2024-01-24 00:16:28,"0,000s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2024-01-24 00:16:28,2024-01-24 00:16:28,"0,016s",FAILED
,,,,,,,
Test Cases/Mercado Libre/Positivos/Oauth Carrier - iteraciones audience,,,,2024-01-24 00:16:28,2024-01-24 00:16:28,"0,320s",FAILED
"Response = sendRequest(findTestObject(""Desarrollo ML/Oauth Carrier - iteración"", [""audience"":userglobalcorrecto]))",,,,2024-01-24 00:16:28,2024-01-24 00:16:28,"0,298s",PASSED
print(Response.getResponseText()),,,,2024-01-24 00:16:28,2024-01-24 00:16:28,"0,000s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2024-01-24 00:16:28,2024-01-24 00:16:28,"0,004s",FAILED
